ID,KW,Lehre,lehrfrei,Kurswoche,Wochenbeginn_Datum,Wochenabschluss_Datum
1,11,TRUE,FALSE,1,2022-03-14,2022-03-20
2,12,TRUE,FALSE,2,2022-03-21,2022-03-27
3,13,TRUE,FALSE,3,2022-03-28,2022-04-03
4,14,TRUE,FALSE,4,2022-04-04,2022-04-10
5,15,TRUE,FALSE,5,2022-04-11,2022-04-17
6,16,TRUE,FALSE,6,2022-04-18,2022-04-24
7,17,TRUE,FALSE,7,2022-04-25,2022-05-01
8,18,TRUE,FALSE,8,2022-05-02,2022-05-08
9,19,TRUE,FALSE,9,2022-05-09,2022-05-15
10,20,TRUE,FALSE,10,2022-05-16,2022-05-22
11,21,TRUE,FALSE,11,2022-05-23,2022-05-29
12,22,FALSE,TRUE,11,2022-05-30,2022-06-05
13,23,TRUE,FALSE,12,2022-06-06,2022-06-12
14,24,TRUE,FALSE,13,2022-06-13,2022-06-19
15,25,TRUE,FALSE,14,2022-06-20,2022-06-26
16,26,TRUE,FALSE,15,2022-06-27,2022-07-03
